Education Type,Industry,Age,CoW,Education,Marital,Occupation,PoB,Hours,Sex,Race,State,Income,Log Income,Rank,Log Rank
Bachelor's degree,LGL,30, Private Employee,21,Married,3645,US,8,Female,White,Pennsylvania,4800,8.476371197,4630,8.440312147
post-high-school,LGL,19, Private Employee,19,One of Single,4110,US,40,Male,White,Ohio,7000,8.853665428,4465,8.404024493
no diploma,LGL,18, Private Employee,14,One of Single,9620,US,25,Male,White,Wisconsin,4200,8.342839804,4657,8.446126743
no diploma,LGL,72,Self-Employed,11,Married,3602,non US,40,Male,non White,New York,25000,10.1266311,3296,8.100464891
Bachelor's degree,LGL,37, Private Employee,21,One of Single,4040,US,40,Male,White,New Hampshire,25000,10.1266311,3296,8.100464891
Doctorate degree,LGL,30, Private Employee,24,One of Single,2830,US,40,Female,White,Rhode Island,47000,10.75790288,2025,7.61332498
Associate's degree,LGL,26, Private Employee,20,One of Single,7340,US,40,Male,White,New York,42000,10.6454249,2257,7.721791777
high-school,LGL,74, Private Employee,16,Divorced,9130,US,25,Male,White,Illinois,11700,9.367344121,4216,8.34664209
no diploma,LGL,73, Private Employee,1,Married,4220,non US,40,Male,non White,New Jersey,11500,9.350102314,4220,8.347590407
post-high-school,LGL,31,Government Employee,19,One of Single,3802,US,40,Male,White,Minnesota,56600,10.94376426,1586,7.368970402
Bachelor's degree,MGR,69, Private Employee,21,Married,440,US,60,Male,White,North Carolina,163400,12.00395646,245,5.501258211
Bachelor's degree,LGL,71, Private Employee,21,Married,9130,US,25,Male,White,Ohio,166600,12.02335101,233,5.451038454
no diploma,LGL,57, Private Employee,13,Married,7700,US,40,Male,White,Texas,70000,11.15625052,1135,7.03438793
high-school,LGL,18, Private Employee,16,One of Single,3655,US,40,Male,White,Illinois,14000,9.546812609,4064,8.309922989
Bachelor's degree,LGL,37, Private Employee,21,Married,4600,US,15,Female,White,Kansas,25000,10.1266311,3296,8.100464891
high-school,LGL,26, Private Employee,16,One of Single,4720,US,39,Female,White,Florida,21000,9.952277717,3599,8.188411308
high-school,LGL,20, Private Employee,17,One of Single,2350,non US,14,Male,non White,Kansas,32700,10.39513036,2849,7.954723334
high-school,LGL,23, Private Employee,16,One of Single,6230,US,5,Male,non White,North Carolina,400,5.991464547,4976,8.512381634
no diploma,LGL,22,Self-Employed,6,One of Single,6220,US,40,Male,non White,Louisiana,18000,9.798127037,3810,8.245384468
Bachelor's degree,FIN,58,Self-Employed,21,Married,800,US,50,Male,White,Washington,198000,12.19602231,176,5.170483995
post-high-school,LGL,60,Self-Employed,19,Divorced,4700,US,30,Female,White,New Jersey,42700,10.6619542,2244,7.716015267
post-high-school,LGL,34,Government Employee,19,One of Single,6305,US,45,Male,White,New York,35000,10.46310334,2685,7.895436007
post-high-school,CMM,53, Private Employee,18,Married,1006,US,40,Female,White,Massachusetts,52000,10.858999,1718,7.448916103
Master's degree,CMS,49, Private Employee,22,Married,2040,US,42,Female,White,Maryland,80000,11.28978191,893,6.794586581
Bachelor's degree,LGL,55,Government Employee,21,Married,2310,US,35,Female,White,Ohio,55000,10.91508846,1632,7.397561536
Bachelor's degree,BUS,49, Private Employee,21,Married,705,non US,40,Male,non White,New York,235000,12.36734079,127,4.844187086
post-high-school,MGR,67,Self-Employed,18,Married,205,US,50,Male,White,Indiana,50000,10.81977828,1785,7.487173694
Master's degree,LGL,48,Self-Employed,22,Divorced,4655,US,50,Female,White,Connecticut,65000,11.08214255,1263,7.141245122
no diploma,LGL,22, Private Employee,15,One of Single,4030,US,40,Male,non White,California,20000,9.903487553,3651,8.202756382
Bachelor's degree,LGL,35, Private Employee,21,Married,5820,US,40,Female,White,Illinois,70000,11.15625052,1135,7.03438793
Associate's degree,LGL,28, Private Employee,20,Married,8650,US,50,Male,White,Virginia,46000,10.73639668,2057,7.62900389
Associate's degree,LGL,66, Private Employee,20,Divorced,3500,US,24,Female,White,Connecticut,57200,10.95430918,1561,7.353081921
post-high-school,LGL,24, Private Employee,19,One of Single,9645,US,25,Male,White,Oregon,8000,8.987196821,4405,8.390495538
high-school,LGL,41, Private Employee,16,Divorced,9130,US,40,Male,White,California,15000,9.61580548,3962,8.284504227
Bachelor's degree,ENG,64, Private Employee,21,Married,1460,US,40,Male,White,California,110000,11.60823564,499,6.212606096
post-high-school,LGL,43, Private Employee,18,Married,3645,US,70,Female,White,Wisconsin,27000,10.20359214,3189,8.067462667
Bachelor's degree,LGL,32, Private Employee,21,One of Single,4850,US,43,Female,White,Wisconsin,439000,12.99225469,44,3.784189634
Associate's degree,LGL,40, Private Employee,20,Divorced,4510,non US,40,Female,non White,New York,30000,10.30895266,2949,7.989221409
high-school,LGL,30, Private Employee,16,One of Single,7560,US,40,Male,non White,California,47000,10.75790288,2025,7.61332498
high-school,LGL,63, Private Employee,16,Married,9640,non US,30,Male,non White,Virginia,15000,9.61580548,3962,8.284504227
post-high-school,LGL,35, Private Employee,19,Married,4710,US,55,Male,White,Iowa,150000,11.91839057,275,5.616771098
Professional degree,LGL,28, Private Employee,23,Married,2100,US,60,Male,White,Illinois,110000,11.60823564,499,6.212606096
post-high-school,BUS,29, Private Employee,19,One of Single,650,US,44,Male,White,North Carolina,56000,10.93310697,1595,7.374629015
post-high-school,LGL,49, Private Employee,19,Married,4710,US,60,Female,White,Arizona,68000,11.12726298,1211,7.099201744
high-school,LGL,65, Private Employee,16,Divorced,4850,US,40,Male,White,Washington,35000,10.46310334,2685,7.895436007
high-school,LGL,35, Private Employee,16,One of Single,9365,US,40,Male,White,Alabama,47800,10.77478092,2008,7.604894481
high-school,LGL,62, Private Employee,16,Married,7000,US,38,Male,White,Pennsylvania,25000,10.1266311,3296,8.100464891
high-school,LGL,45, Private Employee,16,Married,8130,US,50,Male,White,Ohio,32000,10.37349118,2855,7.956827122
Bachelor's degree,CMM,61,Self-Employed,21,Married,1010,US,40,Male,White,North Carolina,85000,11.35040654,811,6.698268054
high-school,LGL,50, Private Employee,16,Married,6240,non US,40,Male,non White,Illinois,28000,10.23995979,3129,8.048468744
no diploma,LGL,18, Private Employee,14,One of Single,4760,US,20,Female,White,Georgia,1800,7.495541944,4857,8.488176242
Bachelor's degree,LGL,40,Self-Employed,21,One of Single,2905,US,40,Male,White,New Jersey,16000,9.680344001,3918,8.273336599
Professional degree,CMS,44, Private Employee,23,Married,2016,US,24,Female,White,New Jersey,40000,10.59663473,2353,7.763446389
post-high-school,MGR,29, Private Employee,19,Married,160,US,40,Male,White,Georgia,58020,10.96854306,1530,7.333023014
post-high-school,LGL,34, Private Employee,19,Married,4055,US,5,Female,White,Indiana,1000,6.907755279,4910,8.499029221
Doctorate degree,MGR,73,Self-Employed,24,Married,205,US,2,Female,White,Missouri,16500,9.71111566,3905,8.270013062
no diploma,LGL,72, Private Employee,8,Married,7700,US,32,Male,White,Texas,37000,10.51867319,2596,7.861727078
post-high-school,LGL,43, Private Employee,19,Married,2710,US,37,Female,White,New York,83000,11.32659589,854,6.749931194
high-school,LGL,70, Private Employee,16,Married,4230,US,12,Female,non White,Virginia,19400,9.873028345,3751,8.22977775
post-high-school,LGL,31,Government Employee,19,Married,9620,US,40,Male,White,Delaware,33100,10.40728856,2822,7.945201132
Master's degree,LGL,41,Government Employee,22,Married,2310,US,40,Male,White,Florida,30000,10.30895266,2949,7.989221409
Professional degree,LGL,52, Private Employee,23,Married,4920,US,35,Female,White,Illinois,230000,12.34583459,130,4.86753445
Bachelor's degree,LGL,60, Private Employee,21,Married,4850,US,55,Male,White,New York,130000,11.77528973,358,5.880532986
Bachelor's degree,FIN,27, Private Employee,21,Married,860,US,45,Male,White,California,65000,11.08214255,1263,7.141245122
post-high-school,LGL,28,Government Employee,19,Married,2400,US,40,Female,White,Florida,37000,10.51867319,2596,7.861727078
post-high-school,LGL,58, Private Employee,19,Married,9600,US,40,Male,White,Missouri,45000,10.71441777,2100,7.649692624
post-high-school,MGR,40, Private Employee,19,One of Single,110,US,46,Male,White,Michigan,71000,11.17043516,1117,7.018401799
high-school,LGL,35, Private Employee,17,One of Single,8300,US,50,Male,White,Iowa,30000,10.30895266,2949,7.989221409
Bachelor's degree,LGL,46,Government Employee,21,Divorced,3870,US,45,Male,White,Arizona,72000,11.1844214,1092,6.995766156
post-high-school,LGL,31, Private Employee,19,Married,7220,US,59,Male,White,Maine,114000,11.64395373,488,6.190315406
no diploma,LGL,34, Private Employee,14,One of Single,6040,US,40,Male,White,Michigan,20000,9.903487553,3651,8.202756382
no diploma,LGL,17, Private Employee,13,One of Single,4760,US,10,Female,White,Maryland,2000,7.60090246,4811,8.478660242
Associate's degree,LGL,51, Private Employee,20,One of Single,3255,non US,24,Female,White,New York,67000,11.1124479,1226,7.111512116
post-high-school,LGL,52,Government Employee,19,Married,4600,US,29,Female,non White,New York,1440,7.272398393,4893,8.495560891
Bachelor's degree,SCI,59,Government Employee,21,Married,1610,US,40,Female,White,California,91000,11.41861479,734,6.598509029
post-high-school,LGL,66, Private Employee,19,Married,9141,US,24,Male,White,Indiana,49800,10.81577026,1925,7.562681247
Bachelor's degree,LGL,32, Private Employee,21,Married,3255,non US,12,Female,non White,North Carolina,6000,8.699514748,4511,8.414274137
post-high-school,LGL,24, Private Employee,19,One of Single,2310,US,40,Female,White,Florida,18000,9.798127037,3810,8.245384468
post-high-school,LGL,35, Private Employee,18,One of Single,4850,US,50,Male,White,New York,44000,10.69194491,2183,7.688455357
no diploma,LGL,58,Self-Employed,12,Married,9130,US,40,Female,White,Texas,76000,11.23848862,992,6.899723107
post-high-school,LGL,24, Private Employee,18,One of Single,5810,US,48,Female,White,New York,21000,9.952277717,3599,8.188411308
Bachelor's degree,MGR,35,Self-Employed,21,Married,205,US,70,Male,White,Nebraska,48000,10.77895629,1970,7.585788822
post-high-school,LGL,24, Private Employee,19,One of Single,9645,US,40,Female,White,Texas,14400,9.574983486,4048,8.305978211
high-school,MGR,54, Private Employee,17,Divorced,350,US,80,Male,non White,Georgia,57000,10.95080655,1564,7.355001921
high-school,LGL,62, Private Employee,16,Married,4055,US,32,Female,White,Pennsylvania,26810,10.19653023,3219,8.076826031
Master's degree,LGL,51,Government Employee,22,Married,2310,US,55,Female,White,Texas,57000,10.95080655,1564,7.355001921
no diploma,LGL,58, Private Employee,12,Married,5740,US,40,Female,White,Texas,31000,10.34174248,2911,7.976251944
post-high-school,BUS,23, Private Employee,19,One of Single,705,US,32,Female,White,Georgia,11400,9.341368634,4228,8.349484347
no diploma,LGL,52, Private Employee,15,Separated,4720,US,25,Female,White,Wisconsin,8200,9.011889433,4400,8.38935982
post-high-school,LGL,26, Private Employee,19,One of Single,6660,US,38,Male,White,Florida,25000,10.1266311,3296,8.100464891
post-high-school,CMM,42, Private Employee,19,Married,1021,US,50,Male,White,Michigan,100000,11.51292546,592,6.383506635
Professional degree,CMS,66, Private Employee,23,Married,2040,US,50,Male,White,Maryland,95000,11.46163217,693,6.541029999
post-high-school,LGL,25, Private Employee,19,One of Single,2545,US,35,Female,non White,California,35000,10.46310334,2685,7.895436007
no diploma,LGL,48, Private Employee,14,Married,7200,US,45,Male,White,Missouri,60000,11.00209984,1409,7.250635512
high-school,MGR,29, Private Employee,16,One of Single,310,US,40,Male,non White,Texas,56000,10.93310697,1595,7.374629015
Bachelor's degree,LGL,33, Private Employee,21,Married,4850,US,40,Male,White,Maryland,52000,10.858999,1718,7.448916103
Associate's degree,LGL,23, Private Employee,20,One of Single,4030,US,40,Female,White,Washington,19500,9.878169745,3747,8.228710799
Master's degree,LGL,38,Government Employee,22,Married,2310,US,40,Male,White,North Carolina,56020,10.93346405,1594,7.374001859
Bachelor's degree,LGL,58,Government Employee,21,Married,3945,non US,23,Female,White,Virginia,13520,9.51192535,4095,8.317521996
high-school,BUS,55, Private Employee,16,Married,630,US,40,Female,White,California,60000,11.00209984,1409,7.250635512
no diploma,LGL,17, Private Employee,14,One of Single,4600,US,18,Female,White,South Carolina,1200,7.090076836,4903,8.497602542
high-school,LGL,32, Private Employee,17,Married,9030,US,40,Male,non White,Texas,10000,9.210340372,4271,8.359603271
high-school,LGL,61, Private Employee,16,Married,9620,US,40,Male,White,Texas,50000,10.81977828,1785,7.487173694
Master's degree,MGR,47, Private Employee,22,Divorced,230,non US,60,Male,White,Montana,90000,11.40756495,740,6.606650186
Associate's degree,ENG,42, Private Employee,20,Married,1545,US,40,Female,White,Nebraska,58000,10.96819829,1532,7.33432935
high-school,LGL,34, Private Employee,16,Married,9620,US,50,Male,White,Kentucky,60000,11.00209984,1409,7.250635512
Bachelor's degree,FIN,61, Private Employee,21,Married,800,non US,40,Female,non White,New York,110000,11.60823564,499,6.212606096
Master's degree,LGL,66,Government Employee,22,Married,5320,US,24,Female,White,Iowa,77900,11.26318123,971,6.878326468
Bachelor's degree,LGL,52, Private Employee,21,Divorced,3255,US,50,Female,White,Massachusetts,60000,11.00209984,1409,7.250635512
no diploma,LGL,17,Government Employee,14,One of Single,4435,US,20,Male,White,Colorado,3000,8.006367568,4724,8.460411177
high-school,LGL,47, Private Employee,16,Married,6410,non US,40,Male,White,Virginia,28800,10.26813067,3112,8.043020885
Master's degree,ENG,40,Government Employee,22,One of Single,1530,non US,50,Male,White,Florida,45000,10.71441777,2100,7.649692624
high-school,LGL,38, Private Employee,16,Married,5740,US,40,Female,White,Alabama,28800,10.26813067,3112,8.043020885
Associate's degree,LGL,20, Private Employee,20,One of Single,4760,US,50,Female,White,New Jersey,24000,10.08580911,3408,8.133880888
Professional degree,BUS,49,Government Employee,23,Separated,710,US,40,Female,White,New Jersey,87000,11.3736634,795,6.678342115
Professional degree,FIN,45, Private Employee,23,Married,910,non US,70,Male,non White,Hawaii,200100,12.20657252,161,5.081404365
post-high-school,LGL,54, Private Employee,19,Married,5120,US,40,Female,White,Texas,52000,10.858999,1718,7.448916103
high-school,LGL,34, Private Employee,16,One of Single,4720,US,30,Female,non White,Arizona,14400,9.574983486,4048,8.305978211
Bachelor's degree,LGL,59, Private Employee,21,Married,8740,US,50,Male,White,Indiana,70000,11.15625052,1135,7.03438793
high-school,LGL,68, Private Employee,16,Married,3500,US,36,Female,White,Nebraska,31600,10.3609124,2902,7.973155433
high-school,LGL,64,Government Employee,16,Married,3802,US,41,Male,White,Oklahoma,50300,10.82576036,1781,7.484930283
post-high-school,LGL,22, Private Employee,18,One of Single,4720,non US,60,Female,non White,Kansas,7700,8.948975608,4452,8.401108712
high-school,LGL,31, Private Employee,17,One of Single,4510,US,30,Female,White,Nebraska,10360,9.245707516,4264,8.357962966
no diploma,LGL,53, Private Employee,11,Married,4251,non US,52,Male,non White,California,13000,9.472704636,4106,8.320204598
post-high-school,MGR,55, Private Employee,19,One of Single,350,US,40,Female,non White,Texas,25000,10.1266311,3296,8.100464891
high-school,LGL,61, Private Employee,16,Married,6220,US,40,Male,non White,Georgia,24000,10.08580911,3408,8.133880888
Bachelor's degree,ENG,54, Private Employee,21,Married,1545,non US,40,Female,White,Florida,75000,11.22524339,1002,6.909753282
high-school,LGL,19,Government Employee,16,One of Single,4150,US,8,Female,non White,Arizona,8000,8.987196821,4405,8.390495538
Bachelor's degree,LGL,40, Private Employee,21,Married,3255,US,40,Female,White,Minnesota,80000,11.28978191,893,6.794586581
no diploma,LGL,49,Self-Employed,15,Married,5120,US,45,Female,White,Texas,144000,11.87756858,315,5.752572639
no diploma,LGL,38, Private Employee,1,Married,3602,non US,40,Female,White,California,12000,9.392661929,4149,8.33062262
post-high-school,FIN,52, Private Employee,19,Married,910,US,60,Female,White,Nebraska,430000,12.97154049,47,3.850147602
Bachelor's degree,LGL,72,Government Employee,21,Married,4220,non US,40,Male,White,New Hampshire,77600,11.25932271,975,6.882437471
Master's degree,MGR,52, Private Employee,22,Married,230,US,55,Female,White,Wisconsin,98000,11.49272276,655,6.484635236
Associate's degree,CMS,34,Government Employee,20,Married,2006,US,40,Male,White,Washington,50000,10.81977828,1785,7.487173694
Bachelor's degree,LGL,40, Private Employee,21,Married,4710,US,40,Male,White,Kansas,150000,11.91839057,275,5.616771098
post-high-school,LGL,18, Private Employee,19,One of Single,4110,US,30,Female,White,North Carolina,6000,8.699514748,4511,8.414274137
post-high-school,LGL,49, Private Employee,18,Married,5860,US,19,Female,White,Tennesse,1800,7.495541944,4857,8.488176242
Bachelor's degree,LGL,71, Private Employee,21,Married,4700,non US,48,Male,White,Puerto Rico,115400,11.65615963,473,6.159095388
Doctorate degree,LGL,33, Private Employee,24,Married,2310,non US,30,Male,White,New York,25000,10.1266311,3296,8.100464891
Bachelor's degree,FIN,49,Self-Employed,21,Married,850,US,46,Male,White,California,372000,12.82664913,69,4.234106505
Bachelor's degree,CMM,45, Private Employee,21,One of Single,1108,US,40,Male,non White,New Jersey,40000,10.59663473,2353,7.763446389
Associate's degree,LGL,59,Government Employee,20,Married,4020,non US,38,Female,non White,Alaska,30400,10.32219789,2938,7.985484357
post-high-school,LGL,70, Private Employee,19,Married,4760,US,35,Male,White,Oklahoma,268800,12.50172289,103,4.634728988
high-school,LGL,43, Private Employee,16,Divorced,7150,US,35,Male,White,Virginia,2100,7.649692624,4808,8.478036476
Doctorate degree,LGL,37, Private Employee,24,Married,3050,US,40,Female,non White,California,50000,10.81977828,1785,7.487173694
Associate's degree,LGL,40,Government Employee,20,One of Single,3255,US,40,Male,non White,New York,100000,11.51292546,592,6.383506635
post-high-school,LGL,53, Private Employee,18,Married,6230,US,30,Male,White,Indiana,12000,9.392661929,4149,8.33062262
high-school,LGL,40, Private Employee,16,Married,7700,US,50,Male,White,Illinois,45000,10.71441777,2100,7.649692624
Associate's degree,LGL,42, Private Employee,20,Married,3515,US,40,Female,White,Ohio,60000,11.00209984,1409,7.250635512
Bachelor's degree,LGL,35, Private Employee,21,Married,5840,US,40,Female,White,South Carolina,120000,11.69524702,415,6.02827852
post-high-school,LGL,42, Private Employee,18,Married,5730,US,40,Female,White,Georgia,12000,9.392661929,4149,8.33062262
post-high-school,CMS,54, Private Employee,19,Widowed,2004,US,40,Female,non White,Massachusetts,58000,10.96819829,1532,7.33432935
high-school,LGL,20, Private Employee,16,One of Single,4435,US,10,Male,White,New York,7800,8.961879013,4446,8.399760095
Associate's degree,LGL,27, Private Employee,20,Married,3323,US,40,Female,White,Maine,42100,10.64780302,2254,7.720461695
high-school,MGR,38,Government Employee,17,Separated,350,US,45,Female,non White,Delaware,60000,11.00209984,1409,7.250635512
Master's degree,LGL,40, Private Employee,22,Married,4760,US,40,Female,White,Maryland,40000,10.59663473,2353,7.763446389
post-high-school,MGR,74,Self-Employed,19,Widowed,205,US,70,Female,White,California,38200,10.55059079,2522,7.832807517
high-school,LGL,64,Government Employee,16,Married,6730,US,40,Male,White,Arkansas,82500,11.32055357,862,6.759255271
post-high-school,LGL,28, Private Employee,19,Married,5140,US,40,Male,White,New Hampshire,30000,10.30895266,2949,7.989221409
post-high-school,LGL,45,Government Employee,19,Married,3740,US,56,Male,non White,Nevada,120000,11.69524702,415,6.02827852
high-school,LGL,34, Private Employee,17,Married,7100,US,40,Male,White,Ohio,44000,10.69194491,2183,7.688455357
no diploma,MGR,25, Private Employee,12,One of Single,205,non US,72,Male,White,Michigan,48000,10.77895629,1970,7.585788822
high-school,LGL,57,Government Employee,16,Married,4220,US,40,Male,White,Maryland,38000,10.54534144,2526,7.834392303
high-school,LGL,20, Private Employee,16,Separated,5240,non US,40,Female,non White,California,22000,9.998797732,3538,8.171316875
no diploma,LGL,24, Private Employee,14,Married,4030,non US,18,Female,non White,New York,19600,9.883284845,3745,8.228176896
post-high-school,MGR,68, Private Employee,19,Married,10,US,40,Female,White,Nebraska,69400,11.14764215,1200,7.090076836
Doctorate degree,CMS,67,Self-Employed,24,Married,2006,US,4,Female,White,Pennsylvania,45000,10.71441777,2100,7.649692624
post-high-school,LGL,62, Private Employee,19,Married,5120,US,40,Female,White,Pennsylvania,35000,10.46310334,2685,7.895436007
post-high-school,LGL,21, Private Employee,18,One of Single,9645,US,8,Female,White,Connecticut,1500,7.313220387,4877,8.492285556
Bachelor's degree,ENG,49, Private Employee,21,Married,1450,US,40,Male,White,Florida,95000,11.46163217,693,6.541029999
no diploma,LGL,18, Private Employee,14,One of Single,4130,US,10,Male,White,Tennesse,1400,7.244227516,4894,8.495765244
Associate's degree,MGR,40,Self-Employed,20,Married,310,non US,60,Male,non White,Nevada,50000,10.81977828,1785,7.487173694
Professional degree,BUS,55, Private Employee,23,Married,650,US,45,Male,White,New Jersey,161000,11.98915964,248,5.513428746
no diploma,LGL,57, Private Employee,14,Married,4020,US,35,Male,non White,North Carolina,283000,12.55320218,96,4.564348191
high-school,LGL,19, Private Employee,16,One of Single,3424,US,36,Female,White,Massachusetts,15000,9.61580548,3962,8.284504227
post-high-school,LGL,37, Private Employee,18,Married,4110,US,20,Female,White,Illinois,18000,9.798127037,3810,8.245384468
no diploma,LGL,30, Private Employee,11,Married,4020,non US,40,Male,non White,Massachusetts,30000,10.30895266,2949,7.989221409
post-high-school,LGL,25, Private Employee,19,One of Single,4110,non US,40,Female,non White,Louisiana,22900,10.03889219,3521,8.166500319
Associate's degree,LGL,59,Self-Employed,20,Married,4820,non US,50,Male,non White,Michigan,36000,10.49127422,2625,7.872836175
Bachelor's degree,MGR,61, Private Employee,21,Married,10,US,45,Male,White,Missouri,103000,11.54248427,571,6.34738921
Associate's degree,BUS,65,Government Employee,20,Married,750,US,29,Female,White,Virginia,22000,9.998797732,3538,8.171316875
high-school,LGL,72, Private Employee,16,One of Single,5740,US,7,Female,White,New York,48900,10.79753268,1955,7.578145472
Bachelor's degree,LGL,43,Government Employee,21,Married,3740,US,36,Male,White,New York,120000,11.69524702,415,6.02827852
